CODUSU,NRO_HOGAR,COMPONENTE,CH04,CH06,CH07,CH08,NIVEL_ED,ESTADO,CAT_INAC,CAT_OCUP,EMPLEO,PP02B,PP02E,PP02H,PP02I,PP03C,PP03G,PP03I,PP04A,PP04G,PP05B3,PP05H,PP05I,PP05J,PP05K,PP07A,PP07I3,PP07J,PP07K,PP08D1,P21,ITF,DECINDR,IPCF,ANIO,CH03,CH12,CH13,CH14,PP3E_TOT,PP3F_TOT,horastrab,trabaja,adulto_equiv,ad_equiv_hogar,ingreso_necesario,pobre,edad2,educ,edad_rango,ingreso_total_familiar,ingreso_total_familiar_millones,CH03_str,IX_TOT
TQRMNOSPTHLOKQCDEGPDJ00853574,1,2,1,36,1,1,4,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,450000.0,450000,1430000,4,357500.0,2025,3.0,4.0,1.0,9.0,36.0,0.0,36.0,1,1.0,3.6,1314637.2,0,1296,12.0,31-50,1430000.0,1.43,3,4.0
TQRMNOSPTHLOKQCDEGPDJ00853574,1,3,2,32,1,1,4,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,500000.0,500000,1430000,5,357500.0,2025,4.0,4.0,1.0,9.0,45.0,0.0,45.0,1,0.77,3.6,1314637.2,0,1024,12.0,31-50,1430000.0,1.43,4,4.0
TQRMNOPVPHKMLMCDEGOIH00857316,1,1,2,41,3,4,4,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,6.0,0.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,250000,340000,2,170000.0,2025,1.0,4.0,1.0,9.0,25.0,0.0,25.0,1,0.77,1.79,653666.83,1,1681,12.0,31-50,340000.0,0.34,1,2.0
TQRMNOPVPHKMLMCDEGOIH00857316,1,2,1,27,5,4,5,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,0.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,90000,340000,1,170000.0,2025,3.0,6.0,2.0,,12.0,0.0,12.0,1,1.02,1.79,653666.83,1,729,,18-30,340000.0,0.34,3,2.0
TQRMNOQWUHMLKQCDEGOIH00880881,1,1,2,61,3,1,4,3.0,1.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,880000,7,880000.0,2025,1.0,4.0,1.0,9.0,,,0.0,0,0.67,0.67,244668.59000000003,0,3721,12.0,50+,880000.0,0.88,1,1.0
TQRMNOSQVHJKLMCDEGOIH00877161,1,1,2,67,4,1,4,3.0,4.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,1200000,6,600000.0,2025,1.0,4.0,1.0,9.0,,,0.0,0,0.67,1.67,609845.59,0,4489,12.0,50+,1200000.0,1.2,1,2.0
TQRMNOSQVHJKLMCDEGOIH00877161,1,2,1,47,5,1,6,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,8.0,0.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,480000,1200000,4,600000.0,2025,3.0,7.0,1.0,9.0,40.0,0.0,40.0,1,1.0,1.67,609845.59,0,2209,17.0,31-50,1200000.0,1.2,3,2.0
TQRMNOQQTHKMLLCDEGPDJ00861507,1,1,2,51,5,4,4,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,8.0,0.0,6.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,120000,270000,2,67500.0,2025,1.0,4.0,1.0,9.0,8.0,0.0,8.0,1,0.76,2.97,1084575.6900000002,1,2601,12.0,50+,270000.0,0.27,1,4.0
TQRMNOQQTHKMLLCDEGPDJ00861507,1,2,2,24,5,4,5,3.0,3.0,0.0,,0.0,0.0,2.0,2.0,,,,,,,,,,,,,,,,0,270000,1,67500.0,2025,3.0,6.0,2.0,2.0,,,0.0,0,0.76,2.97,1084575.6900000002,1,576,14.0,18-30,270000.0,0.27,3,4.0
TQRMNOQSPHKLKTCDEGPDJ00861515,1,2,1,35,5,1,6,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1000000.0,1000000,3820000,9,1910000.0,2025,3.0,7.0,1.0,9.0,30.0,0.0,30.0,1,1.0,1.76,642711.52,0,1225,17.0,31-50,3820000.0,3.82,3,2.0
